,app_temp,clouds,clouds_hi,clouds_low,clouds_mid,datetime,dewpt,dhi,dni,ghi,ozone,pod,pop,precip,pres,rh,slp,snow,snow_depth,solar_rad,temp,timestamp_local,timestamp_utc,ts,uv,vis,weather,wind_cdir,wind_cdir_full,wind_dir,wind_gust_spd,wind_spd
0,72.1,60,0,12,2,2026-06-27:11,70.7,51,463,124,305,d,0,0.0,1011,100,1019,0,0,97.15429,70.7,2026-06-27T07:00:00,2026-06-27T11:00:00,1782558000,1,7.6,"{'description': 'Broken clouds', 'icon': 'c03d', 'code': 803}",SW,southwest,220,8.1,4.0
1,76.5,59,0,14,2,2026-06-27:12,73.8,78,673,320,304,d,0,0.0,1012,97,1019,0,0,250.75948,74.7,2026-06-27T08:00:00,2026-06-27T12:00:00,1782561600,1,7.8,"{'description': 'Broken clouds', 'icon': 'c03d', 'code': 803}",SW,southwest,230,8.9,4.9
2,79.3,55,0,12,12,2026-06-27:13,74.1,96,784,525,305,d,0,0.0,1012,89,1019,0,0,427.10782,77.7,2026-06-27T09:00:00,2026-06-27T13:00:00,1782565200,2,8.8,"{'description': 'Broken clouds', 'icon': 'c03d', 'code': 803}",SW,southwest,230,9.2,5.1
3,86.0,51,0,6,4,2026-06-27:14,74.7,108,851,713,306,d,0,0.0,1011,82,1019,0,0,598.44684,80.8,2026-06-27T10:00:00,2026-06-27T14:00:00,1782568800,4,10.9,"{'description': 'Broken clouds', 'icon': 'c03d', 'code': 803}",SW,southwest,230,9.6,5.6
4,91.8,43,0,7,0,2026-06-27:15,75.4,117,893,866,306,d,0,0.0,1011,76,1019,0,0,760.8997,83.7,2026-06-27T11:00:00,2026-06-27T15:00:00,1782572400,6,13.6,"{'description': 'Broken clouds', 'icon': 'c03d', 'code': 803}",WSW,west-southwest,240,11.0,6.3
5,96.3,31,6,7,0,2026-06-27:16,75.7,122,917,972,305,d,0,0.0,1011,71,1018,0,0,885.82465,86.4,2026-06-27T12:00:00,2026-06-27T16:00:00,1782576000,8,14.9,"{'description': 'Scattered clouds', 'icon': 'c02d', 'code': 802}",WSW,west-southwest,240,12.1,6.9
6,98.1,50,0,100,0,2026-06-27:17,75.0,124,927,1020,305,d,20,0.01,1010,65,1017,0,0,861.5627,88.2,2026-06-27T13:00:00,2026-06-27T17:00:00,1782579600,7,14.9,"{'description': 'Broken clouds', 'icon': 'c03d', 'code': 803}",SW,southwest,230,12.8,7.4
7,99.0,62,0,65,41,2026-06-27:18,73.9,124,924,1006,304,d,0,0.0,1009,60,1016,0,0,759.96594,89.8,2026-06-27T14:00:00,2026-06-27T18:00:00,1782583200,6,14.9,"{'description': 'Broken clouds', 'icon': 'c03d', 'code': 803}",SW,southwest,230,13.4,7.6
8,99.9,53,0,100,95,2026-06-27:19,73.4,120,908,932,303,d,0,0.0,1009,57,1016,0,0,773.4004,90.9,2026-06-27T15:00:00,2026-06-27T19:00:00,1782586800,6,14.9,"{'description': 'Broken clouds', 'icon': 'c03d', 'code': 803}",SW,southwest,220,13.4,7.6
9,100.4,38,0,14,9,2026-06-27:20,73.4,113,877,804,301,d,20,0.01,1009,56,1016,0,0,723.78705,91.4,2026-06-27T16:00:00,2026-06-27T20:00:00,1782590400,5,14.9,"{'description': 'Scattered clouds', 'icon': 'c02d', 'code': 802}",SSW,south-southwest,210,13.0,7.2
10,99.3,61,7,20,46,2026-06-27:21,73.2,103,826,633,300,d,45,0.03,1008,57,1015,0,0,485.2589,90.7,2026-06-27T17:00:00,2026-06-27T21:00:00,1782594000,3,14.9,"{'description': 'Thunderstorm with rain', 'icon': 't02d', 'code': 201}",SW,southwest,230,12.3,6.9
11,98.1,51,14,0,75,2026-06-27:22,73.6,89,742,435,299,d,85,0.26,1008,60,1015,0,0,337.22266,89.4,2026-06-27T18:00:00,2026-06-27T22:00:00,1782597600,2,14.9,"{'description': 'Thunderstorm with rain', 'icon': 't02d', 'code': 201}",SW,southwest,220,11.0,6.3
12,95.2,57,100,0,100,2026-06-27:23,73.8,68,598,231,298,d,35,0.02,1008,65,1015,0,0,184.54071,87.1,2026-06-27T19:00:00,2026-06-27T23:00:00,1782601200,1,14.9,"{'description': 'Broken clouds', 'icon': 'c03d', 'code': 803}",SSW,south-southwest,210,8.7,4.9
13,90.1,70,92,0,58,2026-06-28:00,73.8,34,290,51,300,d,85,0.2,1007,73,1015,0,0,25.291573,83.5,2026-06-27T20:00:00,2026-06-28T00:00:00,1782604800,1,14.9,"{'description': 'Thunderstorm with rain', 'icon': 't02d', 'code': 201}",W,west,270,7.2,3.8
